first_name;last_name;valor_donado;fehca_donacion
Zsazsa;Royan;41,46;3/11/2023
Levey;Duchesne;96,37;4/6/2023
Vilhelmina;Smylie;94,67;3/27/2023
Velma;Layman;47,42;2/20/2023
Rubia;Simakov;61,36;7/21/2023
Elaina;Geockle;88,95;5/2/2023
Beatrisa;Hawkett;75,12;7/16/2023
Ardelle;Vaugham;95,18;7/11/2023
Gaye;Burgher;47,59;1/17/2023
Jessey;Minchinton;75,28;8/7/2022
Nesta;Belson;2,67;1/19/2023
Rockwell;Grevatt;7,51;4/12/2023
Kirby;Vautre;69,56;10/18/2022
Florian;Parsell;31,32;1/23/2023
Wolfy;Porker;83,28;12/16/2022
Karoly;Brereton;99,75;5/13/2023
Levin;Bryan;99,95;5/12/2023
Manny;Bettenay;76,63;11/12/2022
Ardyth;Plinck;55,7;12/16/2022
Rustin;Blundon;98,37;1/18/2023
