first_name;last_name;valor_donado;fehca_donacion
Ferne;McPhilemy;64,57;7/20/2023
Robina;Doby;64,9;8/9/2022
Weidar;O'Fogerty;72,76;4/16/2023
Rick;Wildey;13,47;4/5/2023
Becki;St. Quentin;40,23;1/22/2023
Cirillo;Branston;34,24;7/13/2023
Georgianne;Gilliat;38,1;11/8/2022
Raquel;Liquorish;94,77;11/9/2022
Aloysia;Labat;63,96;6/13/2023
Dalt;Fiddymont;97,46;5/28/2023
Ginny;Giorgi;88,31;8/23/2022
Brooke;Aime;19,86;10/18/2022
Dina;Kunzler;38,97;2/15/2023
Xenia;Reisenberg;53,93;7/27/2023
Dinnie;Guiel;83;7/27/2023
Hillier;Ayerst;39,98;7/7/2023
Ranique;Butcher;30,77;12/10/2022
Barbee;Seed;23,13;10/18/2022
Deborah;Hazeldene;9,64;6/13/2023
Tandie;Stigger;54,88;2/13/2023
