categoria;first_name;last_name;valor_donado;fecha_donacion
1;Ferne;McPhilemy;64.57;2022-09-08
1;Robina;Doby;64.9;2022-09-09
1;Weidar;O'Fogerty;72.76;2022-09-10
1;Rick;Wildey;13.47;2022-09-11
1;Becki;St. Quentin;40.23;2022-09-12
1;Cirillo;Branston;34.24;2022-09-13
1;Georgianne;Gilliat;38.1;2022-09-14
1;Raquel;Liquorish;94.77;2022-09-15
1;Aloysia;Labat;63.96;2022-09-16
1;Dalt;Fiddymont;97.46;2022-09-17
1;Ginny;Giorgi;88.31;2022-09-18
1;Brooke;Aime;19.86;2022-09-19
1;Dina;Kunzler;38.97;2022-09-20
1;Xenia;Reisenberg;53.93;2022-09-21
1;Dinnie;Guiel;83.00;2022-09-22
1;Hillier;Ayerst;39.98;2022-09-23
1;Ranique;Butcher;30.77;2022-09-24
1;Barbee;Seed;23.13;2022-09-25
1;Deborah;Hazeldene;9.64;2022-09-26
1;Tandie;Stigger;54.88;2022-09-27
