categoria;first_name;last_name;valor_donado;fecha_donacion
3;Haywood;Scrine;96.91;2023-02-03
3;Patrick;Beat;89.34;2022-07-09
3;Diarmid;St Quenin;44.18;2022-07-10
3;Alaine;Thews;16.45;2022-07-11
3;Rod;Stoke;42.48;2022-07-12
3;Cleopatra;Leedal;81.07;2022-07-13
3;Faun;Hoffman;96.17;2022-07-14
3;Blancha;Bardsley;54.31;2022-07-15
3;Zedekiah;Timlett;78.84;2022-07-16
3;Keelby;Ashpital;13.6;2022-07-17
3;Carlyn;Wolstencroft;68.46;2022-07-18
3;Marji;Lamonby;15.13;2022-07-19
3;Brewer;Slorance;94.58;2022-07-20
3;Nahum;Needham;58.26;2022-07-21
3;Karen;Patley;2.4;2022-07-22
3;Celeste;Irons;23.31;2022-07-23
3;Desi;Stickler;58.87;2022-07-24
3;Mitch;Zini;18.89;2022-07-25
3;Chad;Shafe;37.39;2022-07-26
3;Hadleigh;Kalkofer;92.84;2022-07-27
