categoria;first_name;last_name;valor_donado;fecha_donacion
4;Zsazsa;Royan;41.46;2023-11-03
4;Levey;Duchesne;96.37;2023-11-04
4;Vilhelmina;Smylie;94.67;2023-11-05
4;Velma;Layman;47.42;2023-11-06
4;Rubia;Simakov;61.36;2023-11-07
4;Elaina;Geockle;88.95;2023-11-08
4;Beatrisa;Hawkett;75.12;2023-11-09
4;Ardelle;Vaugham;95.18;2023-11-10
4;Gaye;Burgher;47.59;2023-11-11
4;Jessey;Minchinton;75.28;2023-11-12
4;Nesta;Belson;2.67;2023-11-13
4;Rockwell;Grevatt;7.51;2023-11-14
4;Kirby;Vautre;69.56;2023-11-15
4;Florian;Parsell;31.32;2023-11-16
4;Wolfy;Porker;83.28;2023-11-17
4;Karoly;Brereton;99.75;2023-11-18
4;Levin;Bryan;99.95;2023-11-19
4;Manny;Bettenay;76.63;2023-11-20
4;Ardyth;Plinck;55.7;2023-11-21
4;Rustin;Blundon;98.37;2023-11-22
